Dstip_distinct,Dstip_distinct_i36,Dstip_entropy,Dstip_entropy_i29,Dstip_kurt,Dstip_kurt_i22,Dstip_mean,Dstip_mean_i1,Dstip_q1,Dstip_q1_i43,Dstip_q2,Dstip_q2_i50,Dstip_q3,Dstip_q3_i57,Dstip_skew,Dstip_skew_i15,Dstip_std,Dstip_std_i8,IPLen_distinct,IPLen_distinct_i40,IPLen_entropy,IPLen_entropy_i33,IPLen_kurt,IPLen_kurt_i26,IPLen_mean,IPLen_mean_i5,IPLen_q1,IPLen_q1_i47,IPLen_q2,IPLen_q2_i54,IPLen_q3,IPLen_q3_i61,IPLen_skew,IPLen_skew_i19,IPLen_std,IPLen_std_i12,dstport_distinct,dstport_distinct_i39,dstport_entropy,dstport_entropy_i32,dstport_kurt,dstport_kurt_i25,dstport_mean,dstport_mean_i4,dstport_q1,dstport_q1_i46,dstport_q2,dstport_q2_i53,dstport_q3,dstport_q3_i60,dstport_skew,dstport_skew_i18,dstport_std,dstport_std_i11,iat_distinct,iat_distinct_i41,iat_entropy,iat_entropy_i34,iat_kurt,iat_kurt_i27,iat_mean,iat_mean_i6,iat_q1,iat_q1_i48,iat_q2,iat_q2_i55,iat_q3,iat_q3_i62,iat_skew,iat_skew_i20,iat_std,iat_std_i13,pro_distinct,pro_distinct_i37,pro_entropy,pro_entropy_i30,pro_kurt,pro_kurt_i23,pro_mean,pro_mean_i2,pro_q1,pro_q1_i44,pro_q2,pro_q2_i51,pro_q3,pro_q3_i58,pro_skew,pro_skew_i16,pro_std,pro_std_i9,srcip_distinct,srcip_distinct_i35,srcip_entropy,srcip_entropy_i28,srcip_kurt,srcip_kurt_i21,srcip_mean,srcip_mean_i0,srcip_q1,srcip_q1_i42,srcip_q2,srcip_q2_i49,srcip_q3,srcip_q3_i56,srcip_skew,srcip_skew_i14,srcip_std,srcip_std_i7,srcport_distinct,srcport_distinct_i38,srcport_entropy,srcport_entropy_i31,srcport_kurt,srcport_kurt_i24,srcport_mean,srcport_mean_i3,srcport_q1,srcport_q1_i45,srcport_q2,srcport_q2_i52,srcport_q3,srcport_q3_i59,srcport_skew,srcport_skew_i17,srcport_std,srcport_std_i10
0.3125,0.0,0.45002396261777056,1.0,0.0008701672454894937,0.0,0.7060294274576299,1.0,0.7525676155352424,1.0,0.7525676155352424,0.0,0.8446469837437959,1.0,0.9586933769542174,1.0,0.6027074507558708,0.0,0.26785714285714285,0.0,0.883401527984509,1.0,0.00024388600428158037,0.0,0.36192659477414674,1.0,0.17491749174917492,1.0,0.10738255033557047,0.0,0.17533333333333334,1.0,0.026274869299797714,1.0,0.5507557263515054,0.0,0.009732360097323601,1.0,0.38140204563223384,0.0,0.00012221329672936607,1.0,0.8174577684463474,0.0,0.014571889082595968,0.0,0.5682894900885176,1.0,0.9524630541871921,0.0,0.010393518107112277,0.0,0.9422847606072465,1.0,0.018234165067178502,1.0,0.978317119171718,0.0,0.00036950981989525126,1.0,0.04095988713883564,0.0,0.00029379805812993674,0.0,0.002692231268622007,1.0,0.027173067076549096,0.0,0.023692237562437355,0.0,0.13124572924111802,1.0,0.00010178117048346055,1.0,0.22452165374828942,0.0,0.05343376163048293,1.0,0.00024775344931888296,0.0,0.000274858528698464,0.0,0.00027196518845587763,1.0,0.0002655378703862795,0.0,0.40279826012412934,0.0,0.00018046143467176056,1.0,0.3333333333333333,1.0,0.430506452876742,0.0,0.0009194137637917164,1.0,0.9509891313215351,0.0,1.0,0.0,0.9999999953592746,1.0,1.0,0.0,0.956138405482692,0.0,0.5344981645930387,1.0,0.0003655972945800201,0.0,0.3976113782628274,1.0,0.03334994589524214,0.0,0.40527844528787776,1.0,0.0069643137871403865,1.0,0.0069643137871403865,0.0,0.9524923796914929,1.0,0.2599591990657019,1.0,0.9369472094187236,0.0
0.5,2.6826957949579443e-05,0.3088947184411416,0.9999999784279888,0.0007747481322769422,0.0016082331844067712,0.6448794152650651,0.7340863878963555,0.6751877988398046,0.9999999999939975,0.6751877988398046,4.4750062972503035e-07,0.7525676139054279,0.9999999999999983,0.9614847274445784,0.9999224752127112,0.3974183228745884,0.09626179903177892,0.5714285714285714,8.329806647561946e-06,0.5692946447542793,0.9999999979202189,0.00031768808448475925,0.0004993587685940304,0.3072468373413402,0.9732586351171614,0.132013201320132,0.9999999999994212,0.10738255033557047,1.3894954943731344e-07,0.142,0.9999999999999999,0.028936862307576732,0.9999925256636424,0.5329145377449381,0.029931301987883425,0.0267639902676399,0.9999999999377401,0.3954584542410199,8.639884484090579e-05,0.0019359581782910384,0.9999997762496935,0.15113272012718815,0.30553605005598167,0.014571889082595968,1.441219596718356e-06,0.015475003116818351,0.9999999999999827,0.10534174876847291,2.404099183509974e-08,0.05473202811925518,0.005179451521004037,0.3883646558297534,0.9991959908227314,0.08829174664107485,0.9999999999806682,0.9750849044523914,4.814372418924542e-05,0.00421101528278038,0.9999999305252261,0.00996038451305876,0.1721576192806334,3.903960567996232e-05,8.030857221390657e-07,0.00016691933967005103,0.9999999999999947,0.001964743232008802,1.3396277245180169e-08,0.0708214194597889,0.002886136434599786,0.10149123834681419,0.9997503309951201,0.00010178117048346055,0.9999999997994861,0.04497942701641617,0.0001550515773619969,0.49533867144142596,0.9999992793902882,0.00011087255206880706,0.5288342785062254,9.700889248181083e-05,2.586416205273087e-06,9.59877135726627e-05,0.9999999999999442,9.371924837162806e-05,4.3144022614437845e-08,0.8462967543213995,0.00929496405176435,8.263293831392152e-05,0.9974113802573314,0.5333333333333333,0.9999999993542251,0.3045032471516016,0.0002782559366299881,0.0005616927047866131,0.9999976792064809,0.8654429833541635,0.8414709848078965,0.8971789177502628,4.641588833596115e-06,0.9999999931936028,0.9999999999998203,0.8909847881889813,7.74263682681127e-08,0.9659830419048494,0.0166802317846245,0.3630559955886245,0.9916710848667777,0.0010053925600950553,1.4948691336535597e-05,0.4295987617988596,0.9999999933018614,0.28809096047303223,0.0008961503819989976,0.1290525027978352,0.914730365398956,0.0069643137871403865,0.9999999999981362,0.10756170413457003,2.493592004984135e-07,0.10534499214877305,0.9999999999999994,0.6310588949444901,0.9999759282344717,0.48500553562614057,0.0536969729824921
1.0,5.365391587985191e-05,0.4343365881009149,0.999999913711956,0.0008694511067130448,0.0032164622092540687,0.6419830628812991,0.07776564978943688,0.6751877997711272,0.9999999999759899,0.7525676139054279,8.95001259449971e-07,0.7525676155352424,0.9999999999999933,0.9599687531096555,0.99968991287103,0.5332974982306512,0.19162952807862507,1.0,1.665961329454592e-05,0.6732318235402844,0.9999999916808757,0.00013721158595442022,0.00099871741266836,0.4662749961149313,0.8944647416602398,0.17491749174917492,0.9999999999976852,0.11782252050708426,2.778990988746242e-07,0.23533333333333334,0.9999999999999993,0.022415870728730188,0.999970102766301,0.6800054457996998,0.05983578302752343,0.04866180048661801,0.9999999997509605,0.4946769950357591,0.0001727976890368649,0.00016494580564498017,0.999999104998874,0.5852475340452442,0.5818509434475981,0.014571889082595968,2.882439193433718e-06,0.09348896646303453,0.9999999999999307,0.952493842364532,4.8081983670199465e-08,0.01776457944830641,0.010358764093390531,0.8800623532195362,0.9967852561524397,0.1343570057581574,0.999999999922673,0.9689940137203221,9.628744826690243e-05,0.0019228238997340222,0.999999722100914,0.007839038692014152,0.33917441093188044,0.00012187364080853635,1.6061714442776135e-06,0.0007735347510048632,0.9999999999999785,0.003624426981172368,2.6792554490360334e-08,0.047285098680986674,0.005772248828257801,0.04086496192773205,0.9990014486497043,0.0002035623409669211,0.9999999991979441,0.19064071362370993,0.0003101031509964001,0.026363385744956527,0.9999971175621913,0.00021266018223267176,0.8976698583639505,9.700889248181083e-05,5.1728324105288724e-06,0.00027196518845587763,0.9999999999997768,0.0002655378703862795,8.628804522887561e-08,0.4650758111520005,0.018589125035152834,0.00021468988014606853,0.9896589229336701,0.9333333333333333,0.9999999974169007,0.43447774764555686,0.0005565118517156298,0.0003981077260081828,0.9999907168366957,0.7756718435200068,0.9092974268256817,0.5641795806215801,9.28317766709223e-06,0.8971894387518813,0.9999999999992812,0.8909847901185619,1.5485273653622494e-07,0.9699295579368422,0.03335582230329382,0.6062464929046613,0.9668230811217036,0.0018279864729001006,2.989738266973071e-05,0.468881328279027,0.9999999732074456,0.04843684661030157,0.0017923000443124668,0.3149363608053455,0.6734632827658151,0.0069643137871403865,0.9999999999925449,0.015610753026253733,4.987184009968116e-07,0.9525231688167739,0.9999999999999979,0.32518871047705106,0.9999037140967865,0.859677848489354,0.10723900622987485
0.4375,8.048087377151043e-05,0.3250280749192895,0.9999998058519045,0.0003629841421353735,0.004824682914993178,0.6077090608618763,-0.619912977983674,0.42458328172205556,0.9999999999459771,0.7525676139054279,1.3425018891747326e-06,0.7525676139054279,0.999999999999985,0.9752184375657966,0.9993023490336487,0.5098825804288469,0.2852174211884203,0.5,2.4989419940373956e-05,0.6097969965987062,0.9999999812819703,0.0014966928002052417,0.0014980758077033196,0.17468982630272953,0.7678324321401773,0.132013201320132,0.9999999999947916,0.12826249067859807,4.168486483119296e-07,0.084,0.9999999999999986,0.047027767237753614,0.9999327316431685,0.2743908055324775,0.08968664620448792,0.0267639902676399,0.9999999994396613,0.5298935493416707,0.0002591965319429307,0.001053611722314523,0.9999979862478421,0.22792726999615578,0.8025182051745526,0.03266339923028848,4.323658790143093e-06,0.1066575239995013,0.9999999999998441,0.10538793103448275,7.212297550529915e-08,0.04243850425203757,0.015537798772269504,0.4851493232644683,0.9927716724947228,0.060460652591170824,0.9999999998260141,0.9948908416548936,0.00014443117212138264,0.0002668309164149829,0.9999993747270927,0.016574526395489713,0.49606305844297677,0.0004849920244087331,2.4092571664151256e-06,0.004566883102907885,0.9999999999999516,0.014586798306882252,4.0188831735540494e-08,0.020124571035562956,0.008658313140232531,0.04055272077936433,0.9977537269091726,0.00010178117048346055,0.9999999981953744,0.05579880615090863,0.000465154717175616,0.41928337644889735,0.999993514518825,0.00011211379981149452,0.9949156132203355,9.700889248181083e-05,7.759248615750054e-06,9.59877135726627e-05,0.9999999999994978,9.371924837162806e-05,1.294320678433132e-07,0.8168402351934355,0.027881679951173254,8.890001257438437e-05,0.9767827643571804,0.4666666666666667,0.9999999941880265,0.32988211901439535,0.0008347677237125801,0.00017485726813473587,0.9999791129229608,0.7091133178154965,0.1411200080598672,0.5641795806215801,1.3924766500388347e-05,0.5641795780033776,0.9999999999983827,0.8909847881889813,2.3227910480433623e-07,0.9863472647703031,0.050022131581482644,0.485915596676783,0.9258699025936231,0.0010053925600950553,4.484607399624485e-05,0.5016430775084636,0.999999939716753,0.21612213014722148,0.002688448267255457,0.13433519161234928,0.31734426405535304,0.007310171356704921,0.9999999999832259,0.015610753026253733,7.480776014951786e-07,0.105375781274054,0.9999999999999953,0.5689206248086377,0.9997833610635881,0.5413811278356043,0.16047160707733327
0.6875,0.00010730783160524801,0.5307585007586966,0.9999996548478389,0.0004928248283906995,0.0064328911420969,0.688484333857824,-0.9879050074256533,0.5498855402809302,0.9999999999039594,0.7525676139054279,1.7900025188992253e-06,0.8750000004365575,0.9999999999999732,0.9692211081825153,0.9987598437921752,0.5364490970757239,0.3761562433476476,0.30357142857142855,3.331922658446809e-05,0.5853752085288717,0.9999999667235029,0.0003366706059449316,0.001997433829179301,0.10531148762108412,0.600134348146639,0.132013201320132,0.9999999999907406,0.05965697240865026,5.55798197749227e-07,0.05733333333333333,0.9999999999999974,0.0284916441668441,0.9998804128528935,0.09930685935638847,0.11945714265043114,0.024330900243309004,0.9999999990038423,0.5307732735838389,0.00034559537291415645,0.0023977055160394486,0.9999964199970983,0.14259800709811027,0.9464334430564844,0.014571889082595968,5.764878386843488e-06,0.015475003116818351,0.9999999999997228,0.10535714285714286,9.616396734039882e-08,0.060194240049886355,0.020716416620205996,0.3735786687686459,0.9871616937657697,0.046065259117082535,0.9999999996906918,0.9861732208322441,0.00019257489564109768,0.0004162843055548517,0.9999988884038105,0.021007223593040983,0.6381386835190653,0.0005640722512989197,3.2123428885510833e-06,0.006584429904137735,0.999999999999914,0.02632445616077504,5.358510898072065e-08,0.023827494919609973,0.01154430533018297,0.05274328130912747,0.9960077888084158,0.0002035623409669211,0.9999999967917766,0.25874916984445706,0.0006202062721720512,0.12720884956863174,0.9999884702653821,0.00010708315232539956,0.7911498605965854,9.700889248181083e-05,1.0345664820919328e-05,9.59877135726627e-05,0.9999999999991073,9.371924837162806e-05,1.7257609045775059e-07,0.6278653715221089,0.0371718259395948,0.00015050321913221215,0.9588495674844639,0.5333333333333333,0.9999999896676027,0.4554392272978831,0.0011130235310764975,0.00024756950105899605,0.9999628675191369,0.8234322603036334,-0.7568024953079282,0.5641795806215801,1.8566355333384463e-05,0.9999999931936028,0.999999999997125,0.8909847901185619,3.097054730724461e-07,0.9757665370730049,0.0666745222271661,0.45335816192705586,0.8694937403793284,0.0010967918837400603,5.9794765312737544e-05,0.5427942237601414,0.999999892829784,0.22456383574433667,0.0035845943311441733,0.13470597482822716,-0.09289441353258347,0.01128753340669706,0.9999999999701793,0.015610753026253733,9.97436801993499e-07,0.10536038671141353,0.9999999999999917,0.580505149447505,0.9996148749290964,0.557853826015038,0.21324117571064363
0.375,0.00013413478936175768,0.3063026217385219,0.9999994606997658,0.000849203072829723,0.008041082731070312,0.6343027312903616,-0.8305022589879663,0.5489388782412137,0.9999999998499365,0.7525676139054279,2.2375031486233597e-06,0.7525676139054279,0.9999999999999583,0.9650792269119292,0.9980624812618165,0.40971226576788544,0.46360136384946893,0.2857142857142857,4.164903322625034e-05,0.5485875119800581,0.9999999480054734,0.0001543507419910411,0.00249679135257679,0.42133721679690905,0.40033944098807317,0.132013201320132,0.9999999999855322,0.07009694258016405,6.947477471865136e-07,0.24866666666666667,0.999999999999996,0.023139030184948225,0.9998131471775725,0.6822456663155881,0.1491205955123154,0.019464720194647202,0.9999999984435036,0.3948364284321941,0.0004319942113055955,0.00408819165891709,0.9999944062473435,0.12888578251945573,0.9998327503080342,0.014571889082595968,7.206097983531908e-06,0.09362922328886672,0.9999999999995669,0.10543411330049261,1.2020495917549842e-07,0.07413214435074783,0.025894478710947324,0.29262242742677447,0.9799643409143451,0.04030710172744722,0.9999999995167058,0.9664648082607528,0.00024071861871445912,0.0008803744960133266,0.9999982631311348,0.015947796060379812,0.761158742020041,2.6276657669205405e-05,4.01542861068497e-06,0.00022673001760284168,0.9999999999998656,0.0020751051942194763,6.69813862259008e-08,0.034973180578039345,0.01443020135836888,0.08002662704648959,0.9937645061606899,0.00010178117048346055,0.9999999949871511,0.033306093478971795,0.0007752578122581124,0.9574849261235575,0.9999819848091325,0.00010190112985230653,0.34802188567334796,9.700889248181083e-05,1.2932081026019396e-05,9.59877135726627e-05,0.9999999999986051,9.371924837162806e-05,2.1572011307218763e-07,0.0,0.0464587603483137,2.223346089979647e-05,0.9359521767704685,0.3333333333333333,0.9999999838556293,0.2708878302816783,0.0013912792522630458,0.000571470241070869,0.9999419807006283,0.8230297627499863,-0.9589242746631385,0.7294213395706597,2.320794416598058e-05,0.7294213361856156,0.9999999999955077,0.8909847881889813,3.8713184134055416e-07,0.9723055687350686,0.08330836072117165,0.3562642211378133,0.7986336990200588,0.0007311945891600402,7.47434566158683e-05,0.39260015941441,0.9999998325465391,1.0,0.004480737516296555,0.07410650673820188,-0.4872909457237167,0.0069643137871403865,0.999999999953405,0.0069643137871403865,1.2467960024917577e-06,0.10542196496197544,0.999999999999987,1.0,0.9993982638048289,0.2938972538795168,0.265395448370198
0.4375,0.00016096174702173247,0.6602287446301541,0.9999992234076934,0.00030366835738891446,0.009649253522461522,0.5808495068494566,-0.23141579945482588,0.45731978315331967,0.9999999997839085,0.7525676148367505,2.685003778347045e-06,0.7525676148367505,0.9999999999999398,0.9810524957377459,0.9972103695683364,0.6650129909755264,0.5467406011394581,0.14285714285714285,4.997883986514274e-05,0.5894285393710106,0.999999925127882,0.00016931698730664985,0.002996148253376397,0.09709205444090196,0.17913328769259995,0.132013201320132,0.9999999999791664,0.05965697240865026,8.336972966237868e-07,0.052,0.9999999999999942,0.023405741918866334,0.999730935622738,0.07773991805328025,0.17865042385710106,0.012165450121654502,0.9999999977586452,0.4875342443114065,0.0005183930464723014,0.00013117982989514852,0.9999919449994789,0.6874385515199927,0.9576090715664055,0.014571889082595968,8.64731758020536e-06,0.006903752649295599,0.9999999999993763,0.9702124384236454,1.4424595101059793e-07,0.014802626421964152,0.031071846133150054,0.9724030841474743,0.9711911874159382,0.015355086372360844,0.9999999993040564,0.9999999999999998,0.00028886234122987853,0.00015733236719265323,0.9999974989091527,0.07511773635529713,0.8614497112847916,0.000321325985211991,4.818514332816267e-06,0.043156031794255215,0.9999999999998064,0.08299419761347877,8.037766347108092e-08,0.015770476338456338,0.017315977185851025,0.14544566600982542,0.9910249991222878,0.0002035623409669211,0.9999999927814975,0.195061098154587,0.000930309333706207,0.26025084164133244,0.999974058159423,0.00011046116974891374,-0.2004000368476479,9.700889248181083e-05,1.5518497231032955e-05,9.59877135726627e-05,0.9999999999979914,9.371924837162806e-05,2.588641356866242e-07,0.7120848933485827,0.055741680802700984,0.00010818935307152058,0.9082091374905099,0.4666666666666667,0.9999999767521062,0.6602287446301544,0.0016695348657278953,0.0002480376650043312,0.9999164525643832,0.7808663504711354,-0.27941549819892586,0.607679328359172,2.7849532998076695e-05,0.9999999935029844,0.9999999999935312,0.8909847892915989,4.645582096086599e-07,0.9769238095674622,0.09991901870645349,0.5151872804998214,0.7144701530574502,0.00045699661822502514,8.969214790229662e-05,0.544496892316685,0.9999997588670193,0.028647169614548218,0.005376877103032854,0.47596937218528346,-0.7985852361423327,0.0069643137871403865,0.9999999999329033,0.03219619556673479,1.4961552029899385e-06,0.9702423104159611,0.9999999999999813,0.22482300866782506,0.9991335381192099,0.9980527076820042,0.3167839366999149
0.375,0.0001877887045658654,0.5967864796925826,0.9999989429716322,0.00019650140197609848,0.011257399356872432,0.4260166578417579,0.4907438823400848,0.15832359987737696,0.9999999997058755,0.25278285500891107,3.132504408070194e-06,0.7525676155352424,0.9999999999999182,0.9856038964665305,0.9962036408312902,0.7692542071577367,0.6248017662768426,0.17857142857142858,5.830864650056733e-05,0.7653882601359613,0.9999998980907288,0.000657978938621126,0.0034955044070588857,0.19787857285810453,-0.05165340282057391,0.14273927392739275,0.9999999999716431,0.10738255033557047,9.726468460610439e-07,0.056,0.9999999999999921,0.03782297275917936,0.9996337794173437,0.4578023131339633,0.2080201664904841,0.012165450121654502,0.9999999969492671,0.45083903141587917,0.0006047918777693273,0.0001240603976612971,0.9999890362546058,0.7159692870326357,0.8238006364651519,0.014571889082595968,1.0088537176860852e-05,0.006903752649295599,0.9999999999991511,0.9756003694581281,1.682869428456974e-07,0.013484789698028273,0.036248379994106544,0.9730920939028828,0.9608563406624018,0.016314779270633396,0.9999999990527433,0.9999999999999998,0.0003370060630757676,0.0002539730882041833,0.9999965957379703,0.05461543513672393,0.9360167858093346,0.007565112306434816,5.6216000549444545e-06,0.0431328833101181,0.9999999999997364,0.05585291278001524,9.377394071626105e-08,0.019218866355751003,0.020201608774691418,0.0970559382445116,0.9877906356332018,0.00010178117048346055,0.9999999901748161,0.15030283789864604,0.0010853608327887425,0.15152857775808595,0.9999646903276779,0.0001244236417661057,-0.6881909707812469,9.700889248181083e-05,1.81049134359427e-05,9.59877135726627e-05,0.9999999999972661,9.371924837162806e-05,3.020081583010604e-07,0.6788828509421926,0.06501978527492619,0.0001331561381230369,0.8757640820029914,0.4,0.9999999683570334,0.6068437815745424,0.001947790349926724,0.00012999178639074265,0.9998862832288925,0.6254566704103507,0.6569865987187891,0.2103779070599175,3.249112182957281e-05,0.9999999953592746,0.9999999999911952,0.8909847901185619,5.419845778767629e-07,0.9828799360435273,0.11650187427593048,0.8161544667180161,0.61840508455477,0.00045699661822502514,0.00010464083916868203,0.5369635946004585,0.9999996717912254,0.029926097083439837,0.006273012371676211,0.5474348896923964,-0.9736893839936586,0.0069643137871403865,0.9999999999086739,0.9032620657129382,1.7455144034880264e-06,0.9756304073401275,0.9999999999999746,0.17783308214680485,0.9988207106170687,0.9765309374247182,0.36725836197331796
0.0625,0.00021461566197484948,0.9999999999999998,0.9999986193915941,0.00017279107412264053,0.012865516074969491,0.5885746234768476,0.9519126073933603,0.506578127331235,0.9999999996158374,0.5885746234768476,3.5800050377927152e-06,0.6705711196224604,0.9999999999998931,0.9838403329756131,0.9950424511435405,0.4247385516869538,0.6970598349483415,0.017857142857142856,6.663845313194614e-05,0.9999999999999998,0.9999998668940138,4.1840674006560205e-05,0.003994859689105209,0.06091370558375635,-0.27967752834921733,0.1443894389438944,0.9999999999629625,0.06935123042505593,1.1115963954982822e-06,0.03283333333333333,0.9999999999999897,0.013403179650433694,0.9995216800137458,0.007655605898832623,0.23720350566833798,0.0024330900243309003,0.9999999960153694,0.9999999999999998,0.0006911907045517268,0.00011565737816146551,0.9999856800140259,0.8992535875332417,0.611204747464624,0.6615983026874116,1.1529756773495387e-05,0.545419835431991,0.9999999999988912,0.7679148706896551,1.9232793468079675e-07,0.010737173504432495,0.041423941423471035,0.9425674862161667,0.9489764192770065,0.0009596928982725527,0.9999999987627668,0.9999999999999996,0.00038514978414053787,4.35042630402301e-05,0.9999955536177131,0.2051570067833817,0.9826333056377525,0.10592101937415505,6.424685777069018e-06,0.2051570067833817,0.9999999999996557,0.30439299419260835,1.0717021796144114e-07,0.006403303024812945,0.023087072088153554,0.28222117226361143,0.9840630307340593,0.0,0.9999999871671068,0.0,0.0012404123057781272,0.0,0.999953881327398,0.00010336733315953395,-0.9677698726626319,9.700889248181083e-05,2.0691329640731333e-05,9.59877135726627e-05,0.9999999999964292,9.371924837162806e-05,3.4515218091549604e-07,0.49444890190810614,0.07429227215325117,0.0,0.8387849861302871,0.06666666666666667,0.999999958670411,0.9999999999999998,0.0022260456833152207,0.00010908918532832528,0.9998514728341898,0.7635926265624271,0.9893582466233818,0.6731330406384092,3.713271066036892e-05,0.7820886902326079,0.9999999999884998,0.793906960574505,6.194109461448626e-07,0.9864972594311421,0.13305231325852945,0.4358249750912277,0.5120387291176699,9.139932364500503e-05,0.00011958953041168404,0.9999999999999998,0.9999995713191587,0.028181412688182694,0.007169142602553235,0.5502043703820154,-0.9827412558688747,0.31619635277472097,0.999999999880717,0.5502043703820154,1.994873603986006e-06,0.7679385141168139,0.9999999999999668,0.2077335125899104,0.9984597963590259,0.9427887235987504,0.4166730829438475
0.375,0.00024144261922937773,0.9166666666666664,0.999998252667593,0.00037417339647291927,0.01447359951749446,0.6776643274765611,0.9068282927687016,0.6064048708315019,0.9999999995137943,0.7525676147203352,4.027505667514519e-06,0.8750000626023393,0.9999999999998647,0.9719397469164078,0.9937269805470542,0.7241608952401882,0.7628436814216477,0.08928571428571429,7.496825975870118e-05,0.8333333333333331,0.9999998315377371,0.0002092968112006846,0.0044942139749965335,0.09153430489602096,-0.49274373620762707,0.1254125412541254,0.9999999999531244,0.07755406413124534,1.2505459449354991e-06,0.049,0.999999999999987,0.025054548654126877,0.9993946390876817,0.07291511879141786,0.2661742906796119,0.012165450121654502,0.9999999949569518,0.8333333333333331,0.0007775895261745533,0.0006829973725246847,0.9999818762792413,0.26861855882012875,0.3401538588776476,0.010928916811946975,1.2970976370105975e-05,0.04972104475751153,0.9999999999985968,0.09786022167487685,2.1636892651589597e-07,0.0358950398776292,0.04659839157698506,0.6400446769215914,0.9355705263913908,0.0067178502879078695,0.9999999984341267,0.9999999999999996,0.00043329350431260097,0.00022058810876381685,0.9999943725485259,0.22285514904870987,0.9999072470297011,0.05256219935124177,7.227771499189438e-06,0.08788440873265925,0.9999999999995642,0.25854285422561185,1.2056649520662124e-07,0.018783241199842166,0.02597234309090263,0.4015834046024462,0.9798440457596719,0.0002035623409669211,0.9999999837583695,0.5391675944228979,0.0013954637489467698,0.09940864429159645,0.9999416311741617,0.00010982779148200482,-0.9545502051044165,8.084074373484237e-05,2.327774584538155e-05,9.59877135726627e-05,0.9999999999954806,9.371924837162806e-05,3.8829620352993096e-07,0.6106378177076257,0.08355834031128787,0.00016782790517446403,0.7974632995076811,0.4,0.999999947692239,0.9166666666666664,0.002504300844349086,0.0006690829608621686,0.9998120215418507,0.8865822986165237,0.4121184852417566,0.9948284013599162,4.1774299490365034e-05,0.9999999777245181,0.9999999999854451,0.8909847888781173,6.968373144129585e-07,0.9600215458224315,0.14956573050307595,0.4710817641939899,0.3971429194410817,0.00045699661822502514,0.0001345382216279622,0.8333333333333331,0.9999994574508206,0.06518847029285975,0.00806526707599458,0.27743672378556833,-0.8241971521534709,0.00522323534035529,0.9999999998490324,0.0627731488759629,2.2442328044838613e-06,0.3131600418732104,0.999999999999958,0.37036495604197656,0.9980508127207685,0.8391876986453077,0.46488551608486445
